"country","date","topic","percentage"
"Germany",2009-06-01,"Environment",1.48183556405354
"Germany",2009-07-01,"Environment",2.91323622545915
"Germany",2009-08-01,"Environment",0.555555555555556
"Germany",2009-09-01,"Environment",1.85873605947955
"Germany",2009-11-01,"Environment",1.77484787018256
"Germany",2009-12-01,"Environment",3.24189526184539
"Germany",2010-01-01,"Environment",3.41235632183908
"Germany",2010-02-01,"Environment",2.35294117647059
"Germany",2010-03-01,"Environment",2.5974025974026
"Germany",2010-04-01,"Environment",2.0253164556962
"Germany",2010-05-01,"Environment",3.37972166998012
"Germany",2010-06-01,"Environment",2.49900833002777
"Germany",2010-07-01,"Environment",1.36027982899339
"Germany",2010-09-01,"Environment",3.29385640266469
"Germany",2010-10-01,"Environment",5.14603616133519
"Germany",2010-11-01,"Environment",2.77280858676208
"Germany",2010-12-01,"Environment",1.37569603668523
"Germany",2011-01-01,"Environment",2.02060221870048
"Germany",2011-02-01,"Environment",1.54769425142135
"Germany",2011-03-01,"Environment",2.82805429864253
"Germany",2011-04-01,"Environment",4.33012583271651
"Germany",2011-05-01,"Environment",2.35008103727715
"Germany",2011-06-01,"Environment",3.57845064883995
"Germany",2011-07-01,"Environment",1.18910625239739
"Germany",2011-09-01,"Environment",1.65956492487105
"Germany",2011-10-01,"Environment",2.43818681318681
"Germany",2011-11-01,"Environment",2.67962308598351
"Germany",2011-12-01,"Environment",2.57352941176471
"Germany",2012-01-01,"Environment",2.71673991210547
"Germany",2012-02-01,"Environment",5.75321725965178
"Germany",2012-03-01,"Environment",2.45736291949386
"Germany",2012-04-01,"Environment",2.63157894736842
"Germany",2012-05-01,"Environment",3.57745528180898
"Germany",2012-06-01,"Environment",1.98072805139186
"Germany",2012-09-01,"Environment",1.81513543702876
"Germany",2012-10-01,"Environment",1.78470254957507
"Germany",2012-11-01,"Environment",1.73104956268222
"Germany",2012-12-01,"Environment",1.7139796464917
"Germany",2013-01-01,"Environment",3.08779761904762
"Germany",2013-02-01,"Environment",2.40099781727471
"Germany",2013-03-01,"Environment",2.44376562066093
"Germany",2013-04-01,"Environment",0.846784863720561
"Germany",2013-05-01,"Environment",1.8681888946549
"Germany",2013-06-01,"Environment",2.32160660874519
"Germany",2013-09-01,"Environment",2.10843373493976
"Germany",2013-11-01,"Environment",2.17166494312306
"Germany",2013-12-01,"Environment",0.215982721382289
"Germany",2014-01-01,"Environment",2.67497251740564
"Germany",2014-02-01,"Environment",1.08907040062233
"Germany",2014-03-01,"Environment",2.50472589792061
"Germany",2014-04-01,"Environment",3.48082595870206
"Germany",2014-05-01,"Environment",2.53447633246366
"Germany",2014-06-01,"Environment",3.21199143468951
"Germany",2014-07-01,"Environment",1.90531177829099
"Germany",2014-09-01,"Environment",2.90322580645161
"Germany",2014-10-01,"Environment",2.18911523259349
"Germany",2014-11-01,"Environment",2.80244720742056
"Germany",2014-12-01,"Environment",2.5531914893617
"Germany",2015-01-01,"Environment",1.8304071722077
"Germany",2015-02-01,"Environment",1.036866359447
"Germany",2015-03-01,"Environment",3.56200527704486
"Germany",2015-04-01,"Environment",1.82965299684543
"Germany",2015-05-01,"Environment",4.19468459814281
"Germany",2015-06-01,"Environment",0.820748522652659
"Germany",2015-07-01,"Environment",0.518941359626362
"Germany",2015-09-01,"Environment",2.62529832935561
"Germany",2015-10-01,"Environment",1.73697270471464
"Germany",2015-11-01,"Environment",2.49472270197659
"Germany",2015-12-01,"Environment",4.43366816764808
"Germany",2016-01-01,"Environment",1.91285866099894
"Germany",2016-02-01,"Environment",1.84411969380654
"Germany",2016-03-01,"Environment",0.987841945288754
"Germany",2016-04-01,"Environment",2.15407082876962
"Germany",2016-05-01,"Environment",1.01419878296146
"Germany",2016-06-01,"Environment",3.49080754014429
"Germany",2016-07-01,"Environment",2.97349709114415
"Germany",2016-09-01,"Environment",2.33300099700897
"Germany",2016-10-01,"Environment",0.952986022871665
"Germany",2016-11-01,"Environment",3.67403314917127
"Germany",2016-12-01,"Environment",0.909408884225254
"Germany",2017-01-01,"Environment",1.84590690208668
"Germany",2017-02-01,"Environment",1.5862524785195
"Germany",2017-03-01,"Environment",1.25351199481305
"Germany",2017-04-01,"Environment",1.67247386759582
"Germany",2017-05-01,"Environment",1.63487738419619
"Germany",2017-06-01,"Environment",1.79754020813623
"Germany",2017-09-01,"Environment",5
"Germany",2017-11-01,"Environment",2.98013245033113
"Germany",2017-12-01,"Environment",0.363636363636364
"Germany",2018-01-01,"Environment",4.69798657718121
"Germany",2018-02-01,"Environment",2.62135922330097
"Germany",2018-03-01,"Environment",1.94975628046494
"Germany",2018-04-01,"Environment",1.68612191958495
"Germany",2018-05-01,"Environment",2.23831468071099
"Germany",2018-06-01,"Environment",2.96566077003122
"Germany",2018-07-01,"Environment",2.9126213592233
"Germany",2018-09-01,"Environment",3.20232896652111
"Germany",2018-10-01,"Environment",1.8584420719652
"Germany",2018-11-01,"Environment",2.91355646520588
"Germany",2018-12-01,"Environment",1.32827324478178
"Germany",1991-03-01,"Welfare",0.375
"Germany",1991-04-01,"Welfare",0.17825311942959
"Germany",1991-05-01,"Welfare",1.44927536231884
"Germany",1991-06-01,"Welfare",0.48780487804878
"Germany",1991-10-01,"Welfare",0.0967117988394584
"Germany",1991-11-01,"Welfare",0.208441896821261
"Germany",1991-12-01,"Welfare",0.245098039215686
"Germany",1992-02-01,"Welfare",0.347826086956522
"Germany",1992-03-01,"Welfare",0.243605359317905
"Germany",1992-05-01,"Welfare",0.355239786856128
"Germany",1992-06-01,"Welfare",0.424088210347752
"Germany",1992-09-01,"Welfare",0.10752688172043
"Germany",1992-10-01,"Welfare",0.853658536585366
"Germany",1992-11-01,"Welfare",0.061576354679803
"Germany",1993-01-01,"Welfare",0.44543429844098
"Germany",1993-02-01,"Welfare",0.227014755959137
"Germany",1993-03-01,"Welfare",0.759219088937093
"Germany",1993-04-01,"Welfare",0.564971751412429
"Germany",1993-05-01,"Welfare",1.12359550561798
"Germany",1993-06-01,"Welfare",0.36101083032491
"Germany",1993-07-01,"Welfare",1.6260162601626
"Germany",1993-09-01,"Welfare",0.90403337969402
"Germany",1993-10-01,"Welfare",0.568828213879408
"Germany",1993-11-01,"Welfare",0.450856627592426
"Germany",1993-12-01,"Welfare",0.249376558603491
"Germany",1994-02-01,"Welfare",1.38648180242634
"Germany",1994-03-01,"Welfare",0.576701268742791
"Germany",1994-04-01,"Welfare",1.30653266331658
"Germany",1994-05-01,"Welfare",0.766283524904214
"Germany",1994-06-01,"Welfare",1.22743682310469
"Germany",1994-09-01,"Welfare",0.79155672823219
"Germany",1994-11-01,"Welfare",0.93984962406015
"Germany",1994-12-01,"Welfare",1.89520624303233
"Germany",1995-01-01,"Welfare",1.65041260315079
"Germany",1995-02-01,"Welfare",0.524590163934426
"Germany",1995-03-01,"Welfare",0.701306981192222
"Germany",1995-04-01,"Welfare",0.519480519480519
"Germany",1995-05-01,"Welfare",0.32258064516129
"Germany",1995-06-01,"Welfare",0.908100254268071
"Germany",1995-07-01,"Welfare",1.64835164835165
"Germany",1995-09-01,"Welfare",0.936768149882904
"Germany",1995-10-01,"Welfare",1.22729504172803
"Germany",1995-11-01,"Welfare",1.1480718280836
"Germany",1995-12-01,"Welfare",0.484496124031008
"Germany",1996-01-01,"Welfare",1.32530120481928
"Germany",1996-02-01,"Welfare",1.68621700879765
"Germany",1996-03-01,"Welfare",0.717017208413002
"Germany",1996-04-01,"Welfare",3.15412186379928
"Germany",1996-05-01,"Welfare",2.5010969723563
"Germany",1996-06-01,"Welfare",1.08803165182987
"Germany",1996-07-01,"Welfare",12.3287671232877
"Germany",1996-08-01,"Welfare",6.06060606060606
"Germany",1996-09-01,"Welfare",1.35823429541596
"Germany",1996-10-01,"Welfare",1.50730098916627
"Germany",1996-11-01,"Welfare",1.44065142499217
"Germany",1996-12-01,"Welfare",0.299177262528048
"Germany",1997-01-01,"Welfare",0.538922155688623
"Germany",1997-02-01,"Welfare",1.54320987654321
"Germany",1997-03-01,"Welfare",1.80078784468205
"Germany",1997-04-01,"Welfare",0.116144018583043
"Germany",1997-05-01,"Welfare",0.140646976090014
"Germany",1997-06-01,"Welfare",3.65934797072522
"Germany",1997-08-01,"Welfare",1.04712041884817
"Germany",1997-09-01,"Welfare",1.00719424460432
"Germany",1997-10-01,"Welfare",2.37198795180723
"Germany",1997-11-01,"Welfare",1.1963406052076
"Germany",1997-12-01,"Welfare",1.36268343815514
"Germany",1998-01-01,"Welfare",0.260078023407022
"Germany",1998-02-01,"Welfare",0.946745562130178
"Germany",1998-03-01,"Welfare",0.505369551484523
"Germany",1998-04-01,"Welfare",1.67627029858565
"Germany",1998-05-01,"Welfare",0.639449090014756
"Germany",1998-06-01,"Welfare",0.862812769628991
"Germany",1998-09-01,"Welfare",2.11019929660023
"Germany",1998-11-01,"Welfare",1.24340617935192
"Germany",1998-12-01,"Welfare",1.36165577342048
"Germany",1999-01-01,"Welfare",1.04408352668213
"Germany",1999-02-01,"Welfare",1.31998179335457
"Germany",1999-03-01,"Welfare",0.549882168106834
"Germany",1999-04-01,"Welfare",0.440205429200293
"Germany",1999-05-01,"Welfare",0.975243810952738
"Germany",1999-06-01,"Welfare",3.51621703546529
"Germany",1999-09-01,"Welfare",2.68154237619886
"Germany",1999-10-01,"Welfare",1.1609287429944
"Germany",1999-11-01,"Welfare",1.85541746893051
"Germany",1999-12-01,"Welfare",1.17287098419174
"Germany",2000-01-01,"Welfare",1.02523659305994
"Germany",2000-02-01,"Welfare",0.408997955010225
"Germany",2000-03-01,"Welfare",0.644606789858187
"Germany",2000-04-01,"Welfare",0.578592092574735
"Germany",2000-05-01,"Welfare",0.994431185361973
"Germany",2000-06-01,"Welfare",0.927487352445194
"Germany",2000-07-01,"Welfare",1.57232704402516
"Germany",2000-09-01,"Welfare",0.711321873147599
"Germany",2000-10-01,"Welfare",0.691775557263643
"Germany",2000-11-01,"Welfare",1.81159420289855
"Germany",2000-12-01,"Welfare",1.75438596491228
"Germany",2001-01-01,"Welfare",1.10019646365422
"Germany",2001-02-01,"Welfare",0.608519269776876
"Germany",2001-03-01,"Welfare",0.356400356400356
"Germany",2001-04-01,"Welfare",0.661703887510339
"Germany",2001-05-01,"Welfare",1.31880733944954
"Germany",2001-06-01,"Welfare",1.49565217391304
"Germany",2001-07-01,"Welfare",1.33437990580848
"Germany",2001-09-01,"Welfare",1.39186295503212
"Germany",2001-10-01,"Welfare",1.6273393002441
"Germany",2001-11-01,"Welfare",0.695535113304914
"Germany",2001-12-01,"Welfare",0.322788896061975
"Germany",2002-01-01,"Welfare",0.730593607305936
"Germany",2002-02-01,"Welfare",0.545634920634921
"Germany",2002-03-01,"Welfare",0.36255767963085
"Germany",2002-04-01,"Welfare",1.54746967795901
"Germany",2002-05-01,"Welfare",2.04369274136716
"Germany",2002-06-01,"Welfare",1.03359173126615
"Germany",2002-07-01,"Welfare",0.51584377302874
"Germany",2002-08-01,"Welfare",0.606060606060606
"Germany",2002-09-01,"Welfare",1.32100396301189
"Germany",2002-10-01,"Welfare",1.78571428571429
"Germany",2002-11-01,"Welfare",1.41190914671578
"Germany",2002-12-01,"Welfare",0.703753351206434
"Germany",2003-01-01,"Welfare",0.91566265060241
"Germany",2003-02-01,"Welfare",0.845070422535211
"Germany",2003-03-01,"Welfare",0.893189430591738
"Germany",2003-04-01,"Welfare",0.598802395209581
"Germany",2003-05-01,"Welfare",0.56208482370976
"Germany",2003-06-01,"Welfare",1.24622356495468
"Germany",2003-07-01,"Welfare",0.40650406504065
"Germany",2003-09-01,"Welfare",1.60839160839161
"Germany",2003-10-01,"Welfare",1.05908584169454
"Germany",2003-11-01,"Welfare",0.944081336238199
"Germany",2003-12-01,"Welfare",0.467016929363689
"Germany",2004-01-01,"Welfare",1.03920642418517
